epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,46.00,44.10,56.68,19.72,-29.120
5,64.43,53.59,62.70,18.08,-14.665
10,68.22,56.56,63.61,17.72,-11.394
15,70.29,58.00,63.98,17.49,-9.669
20,71.56,59.16,64.37,17.38,-8.496
25,72.24,59.83,64.41,17.24,-7.782
30,72.68,60.26,64.53,17.19,-7.351
35,73.02,60.68,64.81,17.17,-6.946
40,73.14,60.91,64.77,17.15,-6.803
45,73.35,61.26,64.76,17.09,-6.510
50,73.46,61.40,64.92,17.06,-6.314
55,73.42,61.57,64.75,16.97,-6.181
60,73.62,61.72,64.98,16.96,-5.958
65,73.63,61.89,64.85,16.92,-5.874
70,73.77,62.00,64.99,16.87,-5.655
75,73.84,62.13,65.07,16.88,-5.569
80,73.99,62.23,65.04,16.86,-5.462
85,73.99,62.41,64.93,16.85,-5.418
90,74.07,62.44,64.90,16.79,-5.296
95,74.00,62.43,64.98,16.82,-5.341
100,74.06,62.63,64.93,16.78,-5.200
105,74.14,62.62,64.94,16.85,-5.287
110,74.17,62.66,65.00,16.79,-5.143
115,74.16,62.74,65.04,16.83,-5.166
120,74.22,62.76,65.04,16.73,-4.978
125,74.28,62.88,65.01,16.77,-4.988
130,74.19,62.83,64.97,16.79,-5.084
135,74.30,62.90,65.16,16.72,-4.838
140,74.41,62.95,65.13,16.69,-4.746
145,74.41,63.04,65.14,16.76,-4.821
150,74.29,62.96,64.94,16.69,-4.852
155,74.44,63.07,65.11,16.68,-4.683
160,74.47,63.11,65.08,16.67,-4.653
165,74.41,63.11,65.15,16.64,-4.598
170,74.43,63.20,65.07,16.67,-4.636
175,74.43,63.21,65.06,16.67,-4.636
180,74.45,63.16,65.11,16.66,-4.613
185,74.49,63.21,65.03,16.68,-4.643
190,74.37,63.19,65.02,16.65,-4.645
195,74.39,63.21,65.10,16.70,-4.682
200,74.43,63.22,65.02,16.63,-4.582
205,74.45,63.31,65.08,16.61,-4.487
210,74.50,63.26,65.05,16.63,-4.533
215,74.52,63.27,65.06,16.65,-4.551
220,74.45,63.25,65.06,16.65,-4.582
225,74.51,63.30,65.17,16.67,-4.535
230,74.49,63.30,65.10,16.67,-4.567
235,74.49,63.31,65.14,16.61,-4.452
240,74.48,63.35,65.11,16.62,-4.467
245,74.49,63.32,65.10,16.63,-4.495
250,74.49,63.34,65.13,16.61,-4.444
255,74.50,63.33,65.06,16.65,-4.535
260,74.52,63.37,65.05,16.60,-4.437
265,74.51,63.32,65.03,16.60,-4.466
270,74.52,63.32,65.07,16.63,-4.497
275,74.47,63.27,65.09,16.61,-4.492
280,74.55,63.30,65.08,16.59,-4.426
285,74.51,63.35,65.05,16.58,-4.416
290,74.57,63.37,65.12,16.62,-4.427
295,74.50,63.36,65.02,16.62,-4.491
299,74.53,63.39,65.04,16.61,-4.446

BEST(epoch 285),74.51,63.35,65.05,16.58,-4.416
