epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,58.10,48.32,58.71,20.27,-13.542
0,59.01,49.44,59.26,19.54,-11.515
5,64.03,55.34,61.57,18.02,-4.225
10,65.83,56.88,62.75,17.53,-1.779
15,66.75,57.64,63.52,17.38,-0.613
20,67.45,58.26,63.53,17.17,0.194
25,67.75,58.61,63.71,17.15,0.547
30,67.90,58.96,63.96,16.95,1.122
35,68.04,59.01,63.72,16.89,1.182
40,68.31,59.20,63.97,16.91,1.431
45,68.27,59.41,64.00,16.83,1.625
50,68.35,59.38,63.89,16.83,1.598
55,68.37,59.46,64.28,16.77,1.878
60,68.46,59.69,64.15,16.73,2.008
65,68.48,59.56,64.09,16.71,1.966
70,68.41,59.68,64.03,16.71,1.965
75,68.46,59.80,64.14,16.72,2.062
80,68.52,59.76,64.41,16.73,2.162
85,68.51,59.84,64.20,16.73,2.107
90,68.39,59.85,64.16,16.67,2.134
95,68.50,59.89,64.44,16.61,2.386
100,68.59,60.01,64.18,16.62,2.350
105,68.56,59.97,64.22,16.61,2.353
110,68.52,59.99,64.33,16.60,2.404
115,68.58,59.95,64.36,16.56,2.478
120,68.50,60.13,64.44,16.56,2.553
125,68.59,60.17,64.37,16.54,2.602
130,68.45,60.10,64.29,16.55,2.476
135,68.44,60.13,64.45,16.65,2.409
140,68.52,60.20,64.35,16.49,2.650
145,68.42,60.17,64.52,16.57,2.557
150,68.38,60.16,64.35,16.52,2.540
155,68.34,60.23,64.49,16.47,2.679
160,68.39,60.26,64.39,16.57,2.530
165,68.40,60.29,64.33,16.51,2.606
170,68.50,60.27,64.41,16.50,2.681
175,68.30,60.30,64.35,16.51,2.581
180,68.40,60.27,64.41,16.47,2.685
185,68.37,60.35,64.48,16.49,2.707
190,68.39,60.22,64.50,16.47,2.698
195,68.38,60.31,64.48,16.42,2.792
200,68.40,60.26,64.43,16.45,2.717
205,68.40,60.18,64.33,16.51,2.561
210,68.41,60.29,64.42,16.41,2.785
215,68.40,60.30,64.38,16.43,2.741
220,68.35,60.31,64.38,16.48,2.657
225,68.34,60.28,64.52,16.42,2.781
230,68.36,60.30,64.42,16.44,2.728
235,68.35,60.33,64.50,16.46,2.741
240,68.36,60.36,64.42,16.42,2.780
245,68.38,60.36,64.36,16.42,2.764
250,68.38,60.34,64.47,16.47,2.730
255,68.38,60.30,64.41,16.43,2.746
260,68.43,60.36,64.45,16.48,2.735
265,68.41,60.31,64.45,16.43,2.777
270,68.38,60.37,64.42,16.45,2.750
275,68.41,60.34,64.47,16.47,2.741
280,68.31,60.31,64.45,16.46,2.698
285,68.35,60.35,64.46,16.47,2.719
290,68.43,60.35,64.41,16.45,2.757
295,68.43,60.34,64.47,16.43,2.804
299,68.39,60.36,64.41,16.42,2.787

BEST(epoch 295),68.43,60.34,64.47,16.43,2.804
