epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.60,48.66,57.26,19.90,-14.029
0,58.17,50.06,58.09,19.29,-11.699
5,63.50,55.90,60.36,17.76,-4.320
10,65.13,57.32,61.71,17.32,-1.987
15,66.01,57.94,62.63,17.21,-0.887
20,66.64,58.57,63.03,17.01,0.040
25,66.97,58.94,63.36,17.01,0.444
30,67.16,59.24,63.61,16.82,1.001
35,67.20,59.27,63.45,16.79,1.005
40,67.49,59.40,63.78,16.81,1.270
45,67.45,59.52,63.76,16.72,1.421
50,67.66,59.55,63.79,16.72,1.523
55,67.64,59.57,64.01,16.65,1.709
60,67.87,59.84,64.00,16.63,1.928
65,67.91,59.69,63.98,16.64,1.860
70,67.87,59.84,63.90,16.61,1.915
75,67.79,59.89,64.12,16.64,1.952
80,67.91,59.88,64.45,16.66,2.097
85,67.88,60.02,64.14,16.64,2.046
90,67.86,59.96,63.92,16.57,2.024
95,67.88,60.03,64.24,16.53,2.243
100,67.97,60.16,64.11,16.54,2.263
105,68.02,60.14,64.17,16.51,2.340
110,68.03,60.19,64.23,16.54,2.346
115,67.99,60.09,64.19,16.47,2.372
120,67.96,60.25,64.21,16.48,2.419
125,68.05,60.21,64.23,16.49,2.431
130,67.92,60.24,64.08,16.49,2.335
135,67.96,60.25,64.30,16.55,2.358
140,68.05,60.26,64.22,16.40,2.572
145,67.95,60.29,64.39,16.49,2.490
150,67.96,60.27,64.07,16.42,2.455
155,67.88,60.38,64.31,16.40,2.594
160,67.94,60.38,64.25,16.49,2.467
165,67.98,60.42,64.20,16.43,2.561
170,68.09,60.36,64.27,16.42,2.620
175,67.87,60.41,64.17,16.44,2.490
180,67.92,60.42,64.22,16.38,2.616
185,67.87,60.45,64.29,16.41,2.596
190,67.91,60.35,64.34,16.38,2.632
195,67.87,60.45,64.20,16.36,2.630
200,67.91,60.44,64.22,16.37,2.635
205,67.94,60.35,64.10,16.44,2.464
210,67.90,60.44,64.14,16.35,2.627
215,67.91,60.46,64.15,16.36,2.629
220,67.85,60.44,64.14,16.39,2.552
225,67.87,60.39,64.36,16.34,2.697
230,67.87,60.41,64.24,16.37,2.616
235,67.89,60.44,64.21,16.39,2.595
240,67.90,60.49,64.25,16.34,2.705
245,67.86,60.48,64.11,16.35,2.616
250,67.88,60.43,64.25,16.40,2.590
255,67.89,60.42,64.25,16.36,2.645
260,67.94,60.47,64.24,16.41,2.610
265,67.91,60.43,64.24,16.37,2.639
270,67.87,60.48,64.17,16.38,2.602
275,67.90,60.46,64.25,16.39,2.623
280,67.84,60.43,64.18,16.39,2.561
285,67.86,60.48,64.21,16.40,2.586
290,67.94,60.48,64.17,16.38,2.628
295,67.94,60.45,64.17,16.36,2.644
299,67.91,60.48,64.13,16.35,2.643

BEST(epoch 240),67.90,60.49,64.25,16.34,2.705
