epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,58.10,48.32,58.71,20.27,-13.542
0,59.03,49.49,59.26,19.52,-11.460
5,64.08,55.41,61.49,17.97,-4.141
10,65.92,56.92,62.58,17.47,-1.714
15,66.88,57.84,63.35,17.29,-0.427
20,67.63,58.44,63.37,17.10,0.367
25,68.02,58.80,63.51,17.07,0.755
30,68.18,59.25,63.73,16.93,1.279
35,68.29,59.29,63.61,16.82,1.441
40,68.61,59.38,63.69,16.87,1.559
45,68.49,59.57,63.58,16.78,1.672
50,68.51,59.70,63.61,16.80,1.716
55,68.73,59.82,64.13,16.73,2.152
60,68.71,60.03,63.83,16.68,2.179
65,68.75,59.94,63.89,16.70,2.154
70,68.79,60.05,63.96,16.66,2.297
75,68.73,60.00,64.01,16.70,2.219
80,68.86,60.17,64.04,16.66,2.403
85,68.87,60.27,63.93,16.65,2.417
90,68.82,60.25,64.18,16.60,2.560
95,68.85,60.27,64.18,16.56,2.635
100,68.84,60.39,64.08,16.54,2.668
105,68.82,60.38,64.06,16.56,2.620
110,68.94,60.41,64.16,16.62,2.634
115,68.86,60.45,64.19,16.52,2.771
120,68.83,60.58,64.20,16.56,2.761
125,68.83,60.56,64.20,16.46,2.892
130,68.68,60.43,64.03,16.53,2.618
135,68.83,60.57,64.16,16.60,2.685
140,68.86,60.59,64.12,16.47,2.869
145,68.86,60.51,64.16,16.52,2.784
150,68.83,60.50,64.19,16.51,2.794
155,68.75,60.61,64.31,16.44,2.954
160,68.72,60.53,64.22,16.50,2.791
165,68.79,60.64,64.21,16.47,2.900
170,68.78,60.61,64.21,16.45,2.912
175,68.68,60.73,64.20,16.48,2.877
180,68.76,60.70,64.05,16.43,2.904
185,68.82,60.74,64.29,16.44,3.025
190,68.84,60.67,64.40,16.41,3.090
195,68.76,60.66,64.21,16.38,3.022
200,68.75,60.75,64.14,16.40,2.998
205,68.80,60.69,64.21,16.46,2.937
210,68.92,60.74,64.21,16.40,3.086
215,68.88,60.73,64.10,16.39,3.037
220,68.86,60.78,64.21,16.44,3.024
225,68.83,60.71,64.27,16.36,3.120
230,68.84,60.71,64.12,16.41,2.994

BEST(epoch 225),68.83,60.71,64.27,16.36,3.120
