epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.94,47.96,57.56,20.84,-15.373
0,58.43,49.68,58.04,20.02,-12.791
5,64.15,55.39,61.22,18.35,-4.760
10,65.92,57.02,62.25,17.82,-2.293
15,66.86,57.89,62.59,17.57,-1.108
20,67.49,58.51,62.76,17.36,-0.263
25,67.82,58.91,63.30,17.24,0.404
30,67.90,59.18,63.31,17.18,0.631
35,68.14,59.50,63.34,17.09,0.986
40,68.23,59.66,63.33,17.00,1.205
45,68.36,59.76,63.59,16.96,1.454
50,68.25,59.84,63.69,16.90,1.569
55,68.37,59.90,63.68,16.91,1.620
60,68.45,60.01,63.73,16.91,1.714
65,68.49,60.18,63.75,16.87,1.861
70,68.61,60.21,63.67,16.85,1.914
75,68.63,60.22,63.66,16.95,1.782
80,68.52,60.26,63.88,16.83,2.013
85,68.52,60.39,63.94,16.77,2.173
90,68.58,60.31,64.16,16.74,2.293
95,68.65,60.53,63.88,16.65,2.420
100,68.55,60.43,64.03,16.73,2.292
105,68.67,60.35,63.82,16.74,2.206
110,68.60,60.70,63.73,16.73,2.299
115,68.64,60.46,63.77,16.71,2.261
120,68.62,60.57,63.81,16.64,2.411
125,68.62,60.68,64.00,16.71,2.434
130,68.63,60.75,63.90,16.62,2.551
135,68.53,60.68,63.96,16.65,2.468
140,68.55,60.70,63.87,16.64,2.462
145,68.56,60.79,63.87,16.63,2.516
150,68.53,60.64,63.90,16.66,2.414
155,68.54,60.70,63.90,16.62,2.498
160,68.51,60.76,63.97,16.60,2.567
165,68.56,60.76,63.90,16.57,2.599
170,68.64,60.76,63.99,16.61,2.609
175,68.51,60.73,63.94,16.52,2.654
180,68.53,60.86,63.95,16.56,2.662
185,68.48,60.81,63.87,16.55,2.605
190,68.47,60.81,63.96,16.58,2.596
195,68.50,60.87,63.95,16.52,2.711
200,68.52,60.92,63.79,16.57,2.605
205,68.51,60.86,63.94,16.57,2.637
210,68.46,60.82,63.93,16.60,2.556
215,68.60,60.88,63.93,16.54,2.716
220,68.60,60.88,63.95,16.59,2.655
225,68.54,60.90,63.98,16.53,2.736
230,68.60,60.89,64.07,16.54,2.776
235,68.57,60.87,63.89,16.56,2.657
240,68.56,60.90,63.97,16.52,2.753
245,68.58,60.85,64.03,16.51,2.778
250,68.58,60.98,63.88,16.51,2.771
255,68.54,60.88,64.00,16.50,2.778
260,68.58,60.95,63.91,16.52,2.757
265,68.54,60.90,63.95,16.52,2.738
270,68.57,60.97,63.98,16.54,2.761
275,68.54,60.92,63.94,16.53,2.728
280,68.52,60.90,64.00,16.53,2.736
285,68.55,60.93,64.05,16.53,2.780
290,68.59,60.94,63.98,16.53,2.771
295,68.57,60.93,64.00,16.55,2.739
299,68.54,60.95,64.04,16.52,2.794

BEST(epoch 299),68.54,60.95,64.04,16.52,2.794
