epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.72,46.98,57.56,20.71,-15.670
0,58.08,48.94,58.04,19.64,-12.691
5,63.83,54.45,61.06,17.86,-4.641
10,65.85,56.26,62.05,17.40,-2.122
15,66.79,57.20,62.47,17.25,-1.016
20,67.53,57.84,62.69,17.04,-0.102
25,68.00,58.26,63.14,16.97,0.520
30,68.04,58.47,63.36,16.94,0.750
35,68.28,58.77,63.31,16.82,1.107
40,68.45,58.94,63.51,16.70,1.486
45,68.59,58.96,63.62,16.72,1.563
50,68.50,59.15,63.78,16.68,1.726
55,68.62,59.33,63.69,16.68,1.807
60,68.68,59.23,63.74,16.61,1.906
65,68.68,59.51,63.64,16.64,1.937
70,68.74,59.47,63.82,16.59,2.085
75,68.72,59.46,63.73,16.75,1.815
80,68.58,59.57,63.72,16.63,1.970
85,68.70,59.66,63.84,16.55,2.211
90,68.66,59.75,63.93,16.50,2.338
95,68.80,59.71,63.79,16.42,2.429
100,68.74,59.76,63.92,16.47,2.409
105,68.76,59.74,63.84,16.47,2.377
110,68.62,59.85,63.97,16.49,2.393
115,68.79,59.77,63.81,16.46,2.402
120,68.70,59.93,63.93,16.44,2.509
125,68.82,59.90,63.86,16.45,2.499
130,68.57,59.96,64.00,16.43,2.515
135,68.72,60.03,63.99,16.43,2.595
140,68.76,60.06,63.78,16.41,2.565
145,68.74,60.05,63.90,16.42,2.588
150,68.79,60.04,63.88,16.49,2.497
155,68.80,60.08,64.02,16.38,2.726
160,68.64,59.98,64.02,16.38,2.626
165,68.71,60.07,63.98,16.36,2.701
170,68.74,60.04,64.00,16.45,2.582
175,68.70,60.12,63.92,16.36,2.693
180,68.63,60.04,64.12,16.41,2.645
185,68.67,60.15,64.06,16.37,2.736
190,68.64,60.10,64.10,16.32,2.790
195,68.65,60.16,64.00,16.33,2.764
200,68.70,60.17,63.97,16.39,2.691
205,68.69,60.18,64.07,16.37,2.760
210,68.69,60.20,63.99,16.42,2.666
215,68.75,60.23,64.00,16.33,2.830
220,68.70,60.22,64.03,16.41,2.708
225,68.70,60.23,64.04,16.36,2.785
230,68.64,60.17,64.13,16.35,2.789
235,68.69,60.16,64.02,16.37,2.732
240,68.64,60.19,64.13,16.33,2.825
245,68.68,60.19,64.06,16.32,2.826
250,68.70,60.28,64.00,16.34,2.817
255,68.67,60.21,64.11,16.32,2.850
260,68.70,60.25,64.00,16.35,2.791
265,68.67,60.22,64.02,16.33,2.804
270,68.71,60.27,64.04,16.33,2.847
275,68.64,60.25,64.04,16.33,2.813
280,68.62,60.21,64.09,16.35,2.782
285,68.69,60.20,64.05,16.34,2.801
290,68.69,60.26,64.00,16.34,2.806
295,68.70,60.24,64.03,16.35,2.799
299,68.66,60.25,64.07,16.32,2.846

BEST(epoch 255),68.67,60.21,64.11,16.32,2.850
