epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,56.39,49.78,58.85,20.64,-14.047
5,62.16,55.52,62.10,19.12,-6.166
10,64.38,57.08,62.86,18.50,-3.543
15,65.72,58.00,63.11,18.11,-2.031
20,66.76,58.61,63.53,17.86,-0.881
25,67.08,58.97,63.97,17.70,-0.218
30,67.58,59.20,63.77,17.52,0.231
35,67.68,59.32,64.09,17.59,0.348
40,67.78,59.36,63.92,17.55,0.388
45,67.80,59.34,63.98,17.52,0.454
49,67.86,59.44,63.95,17.51,0.518

BEST(epoch 49),67.86,59.44,63.95,17.51,0.518
