epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
,56.68,47.94,58.12,20.94,-15.392
0,58.18,49.68,58.58,19.84,-12.417
5,64.08,55.09,61.76,18.07,-4.301
10,65.93,56.73,62.52,17.57,-1.951
15,66.82,57.59,62.78,17.38,-0.904
20,67.42,58.20,62.88,17.15,-0.074
25,67.79,58.58,63.42,17.04,0.586
30,67.87,58.85,63.34,16.98,0.776
35,68.14,59.18,63.46,16.90,1.169
40,68.14,59.27,63.47,16.83,1.307
45,68.30,59.39,63.89,16.78,1.653
50,68.18,59.43,63.77,16.71,1.674
55,68.35,59.44,63.75,16.74,1.691
60,68.40,59.51,63.76,16.72,1.770
65,68.37,59.67,63.78,16.70,1.859
70,68.54,59.73,63.74,16.66,1.986
75,68.43,59.65,63.73,16.78,1.742
80,68.50,59.72,63.87,16.66,2.020
85,68.43,59.93,64.09,16.59,2.264
90,68.47,59.75,64.12,16.58,2.232
95,68.58,60.01,63.89,16.49,2.411
100,68.51,59.92,63.94,16.56,2.271
105,68.61,59.91,63.93,16.60,2.245
110,68.51,60.16,63.84,16.58,2.300
115,68.57,60.00,63.94,16.55,2.340
120,68.53,60.07,63.72,16.50,2.335
125,68.51,60.13,63.92,16.54,2.376
130,68.51,60.24,64.11,16.48,2.580
135,68.43,60.18,64.07,16.50,2.482
140,68.46,60.16,63.91,16.48,2.449
145,68.43,60.26,64.07,16.48,2.542
150,68.44,60.10,63.97,16.51,2.400
155,68.41,60.23,64.03,16.46,2.534
160,68.44,60.22,64.04,16.45,2.559
165,68.49,60.19,64.01,16.42,2.596
170,68.55,60.20,64.10,16.46,2.602
175,68.42,60.22,64.04,16.37,2.663
180,68.42,60.38,64.10,16.41,2.696
185,68.37,60.30,64.02,16.39,2.641
190,68.39,60.27,64.03,16.44,2.571
195,68.40,60.28,64.14,16.39,2.692
200,68.41,60.36,63.91,16.42,2.594
205,68.41,60.27,64.00,16.42,2.594
210,68.37,60.24,64.07,16.45,2.554
215,68.48,60.30,64.02,16.39,2.682
220,68.47,60.32,64.07,16.43,2.651
225,68.42,60.34,64.13,16.38,2.734
230,68.44,60.31,64.20,16.40,2.730
235,68.45,60.27,64.01,16.42,2.613
240,68.45,60.30,64.12,16.37,2.739
245,68.44,60.29,64.18,16.37,2.755
250,68.45,60.43,64.05,16.37,2.763
255,68.41,60.32,64.12,16.35,2.760
260,68.44,60.36,64.03,16.38,2.709
265,68.41,60.32,64.07,16.37,2.712
270,68.46,60.39,64.12,16.39,2.751
275,68.41,60.34,64.06,16.38,2.702
280,68.38,60.33,64.15,16.38,2.723
285,68.41,60.35,64.17,16.38,2.750
290,68.43,60.37,64.11,16.38,2.742
295,68.42,60.34,64.10,16.40,2.694
299,68.39,60.38,64.16,16.38,2.751

BEST(epoch 250),68.45,60.43,64.05,16.37,2.763
