epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.35,49.72,58.55,19.81,-12.308
5,64.21,55.10,61.71,18.11,-4.324
10,65.93,56.57,62.55,17.66,-2.128
15,66.88,57.52,62.91,17.39,-0.872
20,67.71,58.13,63.28,17.25,0.027
25,67.92,58.43,63.73,17.17,0.518
30,68.14,58.56,63.58,17.01,0.814
35,68.20,58.71,63.87,17.09,0.902
40,68.30,58.72,63.71,17.04,0.949
45,68.29,58.71,63.80,17.02,1.005
49,68.34,58.81,63.79,17.01,1.074

BEST(epoch 49),68.34,58.81,63.79,17.01,1.074
