epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Edge_odsF,Delta_m_percent
0,39.04,30.93,0.7568,0.2994,-12.695
5,40.40,28.87,0.6944,0.3104,-6.225
10,41.20,27.49,0.6702,0.3167,-2.736
15,41.52,26.79,0.6607,0.3206,-1.065
20,41.53,26.29,0.6571,0.3251,0.021
25,41.65,25.99,0.6502,0.3235,0.549
30,41.73,25.76,0.6448,0.3270,1.366
35,41.91,25.58,0.6471,0.3297,1.821
40,41.85,25.44,0.6465,0.3290,1.898
45,41.87,25.33,0.6424,0.3310,2.366
50,41.96,25.22,0.6401,0.3293,2.480
55,41.93,25.16,0.6487,0.3294,2.202
60,42.00,25.05,0.6381,0.3287,2.715
65,41.97,24.98,0.6412,0.3299,2.758
70,42.07,24.95,0.6443,0.3291,2.661
75,42.11,24.85,0.6488,0.3274,2.470
80,42.18,24.79,0.6401,0.3291,3.066
85,42.22,24.74,0.6392,0.3305,3.303
90,42.19,24.67,0.6364,0.3303,3.452
95,42.27,24.66,0.6467,0.3306,3.139
100,42.26,24.65,0.6352,0.3315,3.669
105,42.30,24.56,0.6534,0.3306,3.006
110,42.33,24.54,0.6336,0.3289,3.665
115,42.30,24.48,0.6477,0.3276,3.050
120,42.28,24.47,0.6376,0.3293,3.591
125,42.18,24.41,0.6366,0.3291,3.616
130,42.28,24.39,0.6414,0.3289,3.495
135,42.22,24.39,0.6369,0.3291,3.650
140,42.29,24.36,0.6435,0.3277,3.346
145,42.26,24.34,0.6329,0.3277,3.762
150,42.26,24.32,0.6366,0.3280,3.666
155,42.15,24.29,0.6345,0.3280,3.713
160,42.25,24.28,0.6342,0.3276,3.761
165,42.29,24.25,0.6410,0.3287,3.651
170,42.32,24.22,0.6495,0.3281,3.319
175,42.28,24.25,0.6446,0.3278,3.426
180,42.33,24.23,0.6475,0.3277,3.357
185,42.29,24.22,0.6376,0.3281,3.763
190,42.34,24.21,0.6320,0.3268,3.908
195,42.27,24.19,0.6416,0.3278,3.602
200,42.23,24.16,0.6333,0.3260,3.774
205,42.24,24.17,0.6327,0.3273,3.907
210,42.20,24.15,0.6317,0.3275,3.960
215,42.17,24.15,0.6311,0.3282,4.027
220,42.24,24.15,0.6386,0.3275,3.717
225,42.33,24.15,0.6304,0.3286,4.188
230,42.26,24.15,0.6388,0.3271,3.686
235,42.30,24.17,0.6349,0.3271,3.841
240,42.25,24.14,0.6322,0.3264,3.886
245,42.22,24.11,0.6347,0.3270,3.856
250,42.28,24.13,0.6313,0.3279,4.082
255,42.27,24.13,0.6365,0.3276,3.848
260,42.28,24.13,0.6337,0.3271,3.919
265,42.23,24.11,0.6305,0.3274,4.060
270,42.32,24.11,0.6353,0.3272,3.912
275,42.22,24.12,0.6357,0.3273,3.832
280,42.25,24.12,0.6304,0.3283,4.145
285,42.34,24.14,0.6404,0.3262,3.605
290,42.19,24.15,0.6305,0.3275,4.001
295,42.29,24.12,0.6328,0.3280,4.050
299,42.26,24.12,0.6308,0.3279,4.100

BEST(epoch 225),42.33,24.15,0.6304,0.3286,4.188
