epoch,SemSeg_mIoU,Depth_rmse,Edge_odsF,Normals_mean,Delta_m_percent
0,36.33,0.8797,0.3104,26.75,-13.618
5,38.69,0.7773,0.3219,25.59,-5.914
10,40.30,0.7268,0.3286,25.03,-1.763
15,41.22,0.7022,0.3302,24.75,0.204
20,41.79,0.6870,0.3312,24.51,1.494
25,42.14,0.6791,0.3287,24.42,1.894
30,42.35,0.6722,0.3311,24.29,2.644
35,42.39,0.6722,0.3339,24.23,2.980
40,42.44,0.6661,0.3306,24.17,3.023
45,42.47,0.6661,0.3327,24.12,3.281
50,42.51,0.6600,0.3308,24.07,3.429
55,42.66,0.6657,0.3307,24.00,3.368
60,42.70,0.6576,0.3303,23.96,3.715
65,42.66,0.6587,0.3306,23.92,3.718
70,42.64,0.6583,0.3299,23.91,3.670
75,42.71,0.6640,0.3276,23.86,3.344
80,42.76,0.6574,0.3295,23.85,3.809
85,42.68,0.6563,0.3309,23.80,3.980
90,42.71,0.6521,0.3271,23.77,3.860
95,42.67,0.6615,0.3271,23.80,3.438
100,42.64,0.6509,0.3288,23.76,4.024
105,42.70,0.6626,0.3270,23.72,3.492
110,42.75,0.6490,0.3284,23.72,4.174
115,42.66,0.6590,0.3267,23.69,3.613
120,42.75,0.6543,0.3273,23.67,3.926
125,42.79,0.6492,0.3255,23.63,4.033
130,42.79,0.6533,0.3242,23.64,3.749
135,42.64,0.6494,0.3263,23.66,3.971
140,42.76,0.6558,0.3262,23.62,3.831
145,42.72,0.6482,0.3265,23.63,4.117
150,42.71,0.6520,0.3264,23.58,4.009
155,42.65,0.6477,0.3269,23.58,4.183
160,42.84,0.6467,0.3270,23.59,4.337
165,42.82,0.6543,0.3279,23.56,4.141
170,42.77,0.6621,0.3265,23.54,3.706
175,42.69,0.6562,0.3249,23.55,3.734
180,42.75,0.6549,0.3258,23.55,3.901
185,42.72,0.6494,0.3257,23.54,4.098
190,42.77,0.6464,0.3261,23.54,4.281
195,42.71,0.6530,0.3267,23.52,4.062
200,42.73,0.6473,0.3252,23.50,4.185
205,42.82,0.6472,0.3260,23.52,4.293
210,42.79,0.6462,0.3259,23.49,4.338
215,42.72,0.6465,0.3244,23.50,4.140
220,42.74,0.6539,0.3251,23.51,3.916
225,42.77,0.6471,0.3265,23.50,4.332
230,42.71,0.6517,0.3255,23.50,4.029
235,42.75,0.6482,0.3259,23.53,4.192
240,42.75,0.6458,0.3260,23.50,4.326
245,42.75,0.6490,0.3257,23.47,4.208
250,42.73,0.6454,0.3265,23.48,4.395
255,42.71,0.6506,0.3256,23.48,4.102
260,42.74,0.6476,0.3255,23.49,4.217
265,42.76,0.6450,0.3259,23.47,4.387
270,42.80,0.6470,0.3255,23.48,4.288
275,42.73,0.6476,0.3255,23.48,4.222
280,42.78,0.6451,0.3268,23.48,4.464
285,42.82,0.6495,0.3246,23.49,4.113
290,42.75,0.6451,0.3260,23.50,4.354
295,42.77,0.6457,0.3263,23.48,4.391
299,42.75,0.6451,0.3260,23.50,4.354

BEST(epoch 280),42.78,0.6451,0.3268,23.48,4.464
