epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,58.27,49.70,58.02,19.60,-12.266
5,63.95,55.35,61.09,17.90,-4.277
10,65.76,56.75,62.15,17.51,-2.071
15,66.77,57.71,62.71,17.25,-0.721
20,67.63,58.23,63.08,17.12,0.138
25,67.94,58.58,63.45,17.06,0.626
30,68.24,58.76,63.37,16.91,0.987
35,68.31,58.87,63.64,16.99,1.055
40,68.42,58.86,63.48,16.94,1.097
45,68.41,58.84,63.59,16.93,1.143
49,68.46,58.94,63.59,16.91,1.230

BEST(epoch 49),68.46,58.94,63.59,16.91,1.230
